ID,Name,Topic,SIG,RTE,TRS,TRK,PTS,LXG,Commissioning
MH,Machynlleth,TD_WWM_SIG_AREA,✔,✔,✔,,,,
ML,Motherwell PSB TD,TD_SW_SIG_AREA,✔,✔,✔,,,,
MO,Morpeth,TD_LNE_NE_SIG_AREA,,,,,,,
MP,Manchester Piccadilly PSB TD,TD_LNW_C_SIG_AREA,✔,✔,✔,✔,,,
MS,Manchester South,TD_LNW_C_SIG_AREA,,✔,✔,,,,
MZ,Manchester East WestCAD,TD_LNW_C_SIG_AREA,✔,✔,,✔,✔,,
NE,EMCC North Erewash Area WestCAD,TD_MC_EM_SIG_AREA,✔,✔,,,,,
NJ,Neasden Jn TD,TBD,?,?,?,?,?,?,2016
NK,North Kent,TD_KENT_MCC_SIG_AREA,✔,✔,✔,✔,✔,,
NL,"Colchester ""Norwich-Lowestoft""",TBD,?,?,?,?,?,?,Planned 17/02/2020
NM,EMCC Nottingham WestCAD,TD_MC_EM_SIG_AREA,✔,✔,✔,,,,
