STANOX,LOCATION,STANME
3025,ARBROATH,"ARBRTH DS"
3026,"ARBROATH CROSSOVER","ARBRTH XO"
3030,"CARNOUSTIE DOWN SIDING",CARNOUSDS
3031,"CARNOUSTIE STN",CARNOUSTI
3032,"GOLF STREET CARNOUSTIE STN","GOLF ST"
3038,"BARRY LINKS STN",BARRYLNKS
3039,"MONIFIETH STN",MONIFIETH
3040,"BALMOSSIE STN",BALMOSSIE
3041,"BROUGHTY FERRY STN",BROUGHTYF
3043,"CAMPERDOWN JUNCTION DUNDEE",CAMPRDNJN
3053,"DUNDEE CENTRAL JUNCTION",DUNDEECJN
3053,"TAY BRIDGE ARTISAN",DUNDEECJN
3054,"DUNDEE STN",DUNDEE
3055,"DUNDEE HEADSHUNT","DUNDEE HS"
3060,"DUNDEE WEST","DUNDEE W"
3060,"SECTION MAN DUNDEE CONC","DUNDEE W"
3062,"DUNDEE ESPLANADE","DNDEE ESP"
3064,"LONGFORGAN LC",LONGFGNLC
3065,"TAY BRIDGE SOUTH DOWN RFS",TAYBDGDRS
3066,"TAY BRIDGE SOUTH SIGNAL BOX",TAYBDGSTH
3067,"INVERGOWRIE STN",INVGOWRIE
3068,"ERROL DOWN SIDING","ERROL DS"
3069,ERROL,ERROL
3071,INCHTURE,INCHTURE
3073,"INCHYRA LEVEL CROSSING",INCHYRA
3095,"BARNHILL (PERTH)",BARNHLPTH
3098,KILLIECRANKIE,KILLIECRK
3099,"BLAIR ATHOLL DOWN SIDING","B ATHL DS"
3100,DALNACARDOCH,DALNCRDCH
3101,"BLAIR ATHOLL STN",BLAIRATHL
3102,"PITLOCHRY STN",PITLOCHRY
3103,"PITLOCHRY UP REFUGE SIDING",PITLCHURS
3104,BALLINLUIG,BALLNLUIG
3105,DALGUISE,DALGUISE
3106,"DUNKELD & BIRNHAM STN",DUNKELD&B
3107,"DUNKELD & BIRNHAM UP SIDING",DUNKELDUS
3108,MURTHLY,MURTHLY
3110,STANLEY,STANLEY
3112,LUNCARTY,LUNCARTY
3119,"PERTH GRADING POINT","PERTH GP"
3121,"PERTH YARD",PERTHY
3122,"PERTH YARD","PERTH YD"
3128,"PERTH YARD",PERTHYARD
3131,"PERTH MUIRTON","PERTH MUR"
3134,PERTH,PERTHOD
3136,"PERTH DOWN SIDINGS","PERTH DS"
3137,"PERTH UP SIDING","PERTH US"
3140,"PERTH STN",PERTH
3140,"PERTH LIP",PERTH
3141,"PERTH SIG 64","PERTH S64"
3147,"PERTH MINERAL","PERTH MIN"
3148,"PERTH DUNDEE DOWN LOOP","PTH DDELP"
3149,"HILTON JUNCTION PERTH","HILTON JN"
3150,"FORTEVIOT LEVEL CROSSING",FORTEVIOT
3151,AUCHTERARDER,ACHRARDR
3152,"AUCHTERARDER UP REFUGE SIDING",ACHRDRURS
3153,"GLENEAGLES STN",GLNEAGLES
3154,"BLACKFORD DOWN SIDING","BLACKF DS"
3155,BLACKFORD,BLACKFORD
3156,GREENLOANING,GRNLONING
3157,"GREENLOANING REFUGE SIDING","GRNLNG RS"
3158,"BLACKFORD UP SIDING","BLACKF US"
3161,"DUNBLANE STN",DUNBLANE
3161,"DUNBLANE D.P.L.",DUNBLANE
3162,"DUNBLANE DOWN REFUGE SIDING","DUNBL DRS"
3163,"DUNBLANE SIGNAL BOX","DUNBL SB"
3165,"BRIDGE OF ALLAN",BDGOALLAN
3167,"CORNTON LEVEL CROSSING",CORNTONLC
3198,"LINKSWOOD (COLAS)",LINKSWDCR
3199,LINKSWOOD,LINKSWOOD
3201,LEUCHARS,LEUCHMD
3202,"LEUCHARS DOWN SIDING","LEUCR DS"
3203,"LEUCHARS STN",LEUCHARS
3204,"CUPAR DOWN SIDING","CUPAR DS"
3205,"CUPAR STN",CUPAR
3206,"LEUCHARS SIG LE15         ",LEUCHRS15
3207,"SPRINGFIELD STN",SPRGFIELD
3208,"CUPAR CP7","CUPAR CP7"
3211,NEWBURGH,NEWBURGH
3217,"LADYBANK DOWN GOODS LOOP",LADYBKDGL
3218,"LADYBANK SIG 668",LDYBKS668
3219,"LADYBANK STATION","LBNK STN"
3220,"LADYBANK BRANCH","LDYBK BCH"
3221,"LADYBANK STN",LADYBANK
3222,"LADYBANK DOWN SIDINGS","LDYBK DS"
3223,"MARKINCH (HAIG)",MRKINCHMH
3224,"MARKINCH (TULLIS RUSSELL)",MRKINCHMT
3225,"MARKINCH (FIFE PAPER MILL)",MARKINCHM
3226,"MARKINCH STN",MARKINCH
3227,"MARKINCH DOWN SIDING","MARKNH DS"
3228,"MARKINCH SIGNAL EW878",MARKNH878
3231,"EARLSEAT HALL CONSTRUCTION",EARLSEAT
3233,"METHIL WEST",METHILWST
3234,"METHIL POWER STATION","METHIL PS"
3235,"GLENROTHES SIG ET867",GLNRTH867
3236,"THORNTON DOWN PASSENGER LOOP",THORTNDPL
3237,"THORNTON SOUTH JUNCTION",THORNTNSJ
3237,"GLENROTHES SIG ET558",THORNTNSJ
3238,"THORNTON UP PASSENGER LOOP",THORTNUPL
3239,"THORNTON NORTH JUNCTION",THORNTNNJ
3239,"THORNTON NORTH SIG ET568",THORNTNNJ
3240,"REDFORD JN SIG ET773",REDFDS773
3241,"GLENROTHES WITH THORNTON STN",GLENROTHE
3242,"THORNTON WEST JUNCTION",THORNTNWJ
3243,"CAMERON BRIDGE",CAMERNBDG
3244,"REDFORD JUNCTION",REDFORDJN
3245,"KINGLASSIE LOADING PAD",KINGLSELP
3246,"WESTFIELD DISPOSAL & OPENCAST",WESTFLDOC
3247,CAPELDRAE,CAPELDREA
3248,"CARDENDEN STN",CARDENDEN
3249,"LOCHGELLY STN",LOCHGELLY
3250,"THORNTON TERMINAL COMPLEX",THORNTNTC
3251,"WESTFIELD SKEDDOWAY",WESTFLDSK
3252,"THORNTON YARD WRD",THORNTWRD
3253,"THORNTON LOCO SERVICING ROAD",THORNTNSR
3254,"THORNTON TERMINAL COMPLEX","THORTN TC"
3255,"BOWHILL WASHERY",BOWHILL
3256,"COWDENBEATH STN",COWDENBTH
3257,"CLUNYBRIDGE JUNCTION",CLUNYBDJN
3258,"THORNTON TERMINAL COMPLEX",THORTNTC
3259,"COWDENBEATH SIG EC941",COWDNB941
3271,"KIRKCALDY SIDINGS",KIRKCYSDG
3272,"KIRKCALDY STN",KIRKCALDY
3273,"KIRKCALDY SIGNAL EK838",KIRKCY838
3273,"KIRKCALDY SIG EK842",KIRKCY838
3274,"KIRKCALDY SIG 843",KIRKCY843
3275,"KIRKCALDY YARD","KIRKCY YD"
3283,"KINGHORN STN",KINGHORN
3290,BURNTISLAND,BURNTISLE
3291,"BURNTISLAND STN",BURNTISLD
3291,"BURNTISLAND JN",BURNTISLD
3295,"ABERDOUR STN",ABERDOUR
3298,"DALGETY BAY STN","DALGETY B"
3314,"TOWNHILL DOWN SIDINGS","THILL DS"
3315,TOWNHILL,TOWNHILL
3315,"TOWNHILL D.G.L.",TOWNHILL
3319,"DUNFERMLINE QUEEN MARGARET STN",DUNFRMLQM
3321,"DUNFERMLINE STN",DUNFRMLNE
3323,"ROSYTH STN",ROSYTH
