STANOX,LOCATION,STANME
83401,"EXETER ST DAVIDS FORWARDED TFC",EXETER
83403,"EXETER ST DAVIDS LOCO SD","EXETER SD"
83404,"EXETER ST DAVIDS CARRIAGE SDS",EXETSDVCS
83405,"EXETER TMD",EXETERTMD
83405,"EXETER TRACTION MAINTENANCE",EXETERTMD
83408,"EXETER RIVERSIDE","EXETER RS"
83411,"EXETER NEW YARD",EXETNEWYD
83412,"EXETER OLD YD - WAGGONERSWAY",EXETOLDYD
83421,"EXETER ST DAVIDS STN",EXETSTDAV
83422,"EXETER ST DAVIDS SIG 664",EXETSD664
83423,"EXETER SIG NC15",EXETER681
83424,"EXETER ST DAVIDS SIG E335",EXETSD335
83425,"EXETER ST DAVIDS GROUND SIG E677",EXETSD677
83426,"EXETER SIG 679",EXETSD679
83427,"EXETER SIG 730",EXETER730
83431,"EXETER CENTRAL STN",EXETERCEN
83433,"EXETER CENTRAL (ISU)",EXETCCE
83435,"EXETER ST JAMES PARK STN",STJAMESPK
83441,"EXETER EXMOUTH JN",EXMOUTHJN
83443,"EXMOUTH JN       PLANT",EXJNPLANT
83444,"EXETER EXMOUTH JN",EXMOCE
83447,"POLSLOE BRIDGE",POLSOEBDG
83449,"DIGBY & SOWTON",DIGBY&SOW
83453,PINHOE,PINHOE
83454,CRANBROOK,CRANBROOK
83455,"HONITON SIG 4803",HONI4803
83456,"AXMINSTER WEST JN",AXMNRWJN
83457,"AXMINSTER EAST JN",AXMNREJN
83458,FENITON,FENITON
83459,"HONITON SIGNAL 4808",HONI4808
83460,WHIMPLE,WHIMPLE
83461,HONITON,HONITON
83462,"HONITON (ISU)",HONITONCE
83463,"HONITON SIGNAL H21",HONITON21
83464,"SEATON JN","SEATON JN"
83465,HEWISH,HEWISH
83466,AXMINSTER,AXMINSTER
83467,"HONITON SIG H2",HONITONH2
83468,"CHARD JN","CHARD JN"
83469,"CHARD JN (UNIGATE)",CHARDJN
83470,"CREWKERNE STN",CREWKERNE
83471,TOPSHAM,TOPSHAM
83472,EXTON,EXTON
83473,"LYMPSTONE COMMANDO",LYMPSECOM
83474,"LYMPSTONE VILLAGE","LYMP VILL"
83475,EXMOUTH,EXMOUTH
83476,NEWCOURT,NEWCOURT
83513,"EXETER ALPHINGTON ROAD",EXEALPHAR
83514,"EXETER ALPHINGTON ROAD GBRF",ALPHTNRGB
83516,"EXETER CITY BASIN",EXECTYBSN
83517,"EXETER ST THOMAS STN",EXETSTTOM
83519,"EXETER SIGNAL E35",EXETERS35
83595,EXMINSTER,EXMINSTER
83602,"STARCROSS STN",STARCROSS
83603,"DAWLISH WARREN STN",DAWLISHWN
83605,"DAWLISH STN",DAWLISH
83607,"TEIGNMOUTH STN",TEIGNMTH
83612,"HACKNEY YARD NEWTON ABBOT",HACKNEYYD
83613,"HACKNEY YD NEWTON ABBOT (FLHH)","HACKNY YD"
83615,"HEATHFIELD (DEVON) (HELTOR)",HTHFLDO
83617,"HEATHFIELD (DEVON) (IMERYS)",HTHFECC
83618,"HEATHFIELD (DEVON)",HEATHFLD
83621,"NEWTON ABBOT FREIGHT DEPOT",NEWTONAFD
83623,"NEWTON ABBOT (WATTS",NEWTNABBT
83624,"NEWTON ABBOT STN",NEWTONABT
83625,"NEWTON ABBOT WEST JN",NEWTONAWJ
83626,TEIGNGRACE,TEIGNGRCE
83627,"TORRE STN",TORRE
83628,"TORQUAY STN",TORQUAY
83631,"PAIGNTON STN",PAIGNTON
83632,"PAIGNTON QUEENS PARK","PGNTN QPK"
83633,"GOODRINGTON YARD",GOODRTNYD
83634,"GOODRINGTON STN",GOODRINTN
83635,"PAIGNTON GROUND FRAME","PGNTN SGF"
83636,"GOODRINGTON SANDS",GOODRNSND
83637,"PAIGNTON SIGNAL 3",PAIGNTON3
83639,"KINGSWEAR STN",KINGSWEAR
83699,"DAINTON TUNNEL","DAINTON T"
83699,"DAINTON TUNNEL","DAINTON T"
83702,"TOTNES STN",TOTNES
83703,"TOTNES LITTLEHEMPSTON R'SIDE","TOTNES L"
83709,BUCKFASTLEIGH,BUCKFSTLH
84058,"RATTERY VIADUCT",RATTERYVD
84060,"AISH EMERGENCY CROSSOVERS",AISHXOVER
84067,IVYBRIDGE,IVYBRIDGE
84075,HEMERDON,HEMERDON
84081,"TAVISTOCK JN",TAVISTKJN
84082,"TAVISTOCK JN PLANT DEPOT",TAVISTJPD
84084,"MARSH MILLS",MARSHMILL
84089,"LAIRA JN PLYMOUTH","LAIRA JN"
84090,"LAIRA TMD PLYMOUTH","LAIRA TMD"
84091,"LAIRA PLYMOUTH",LAIRA
84092,"LAIRA CEM DEPOT PLYMOUTH","LAIRA CEM"
84093,"LAIRA DEPOT PLYMOUTH","LAIRA DEP"
84094,"LAIRA DEPOT FUEL ROAD PLYMOUTH",LAIRATMDF
84095,"MOUNT GOULD JN",MTGOULDJN
84096,"MOUNT GOULD CARRIAGE WASH PLT",MTGOULDCW
84098,"PLYMOUTH FRIARY (THOMAS M)",PLYMTHFY
84100,"PLYMOUTH FRIARY (DBS)",PLYMTHFRY
84135,"LIPSON JN","LIPSON JN"
84136,"PLYMOUTH GROUND SIGNAL PH199",PLYMTH199
84137,"PLYMOUTH GROUND SIGNAL PH132",PLYMTH132
84138,"PARK SDGS    PLYMOUTH","PLYMTH PS"
84139,PLYMOUTH,PLYMOUTH
84140,"PLYMOUTH BALLAST",PLYMBAL
84141,"PLYMOUTH GROUND SIGNAL PH197",PLYMTH197
84142,"PLYMOUTH GROUND POSN SIG 120",PLYMTH120
84143,"PLYMOUTH GROUND POSN SIG 124 ",PLYMTH124
84144,"PLYMOUTH GROUND SIGNAL 131",PLYMTH131
84199,DEVONPORT,DEVONPORT
84200,"DEVONPORT DOCKYARD HALT",DOCKYDHLT
84201,"KEYHAM PLYMOUTH",KEYHAM
84202,"KEYHAM PLYMOUTH (DEVONPORT)",KEYHAMDRD
84203,"KEYHAM SIG P127",KEYHAM127
84204,"ST BUDEAUX VICTORIA ROAD","ST BUDXVR"
84205,"BERE FERRERS",BEREFERES
84206,"ERNESETTLE PLYMOUTH",ERNSETTLE
84207,"BERE ALSTON",BEREALSTN
84208,GUNNISLAKE,GUNISLAKE
84209,CALSTOCK,CALSTOCK
84293,"ST BUDEAUX JN",STBUDFREJ
84295,"ST BUDEAUX FERRY ROAD","ST BUD FR"
84301,SALTASH,SALTASH
84397,"ST GERMANS",STGERMANS
84401,MENHENIOT,MENHENIOT
84409,"MOORSWATER LISKEARD (FLHH)",MOORSWTE
84410,"LISKEARD BRANCH JN       GF","LISKRD GF"
84411,LISKEARD,LISKEARD
84412,"LISKEARD CLAY SDGS",LISKCLAYS
84413,"MOORSWATER LISKEARD",MOORSWATR
84414,"MOORSWATER LISKEARD (FLHH)",MOORSWTR
84415,COOMBE,COOMBE
84416,"ST KEYNE","ST KEYNE"
84417,CAUSELAND,CAUSELAND
84418,SANDPLACE,SANDPLACE
84419,"COOMBE JN","COOMBE JN"
84420,"LISKEARD SIG 9",LISKEARD9
84421,LOOE,LOOE
84431,LARGIN,LARGIN
84435,"ST PINNOCK VIADUCT EAST","ST PINNCK"
85011,"BODMIN PARKWAY",BODMINPKW
85012,"BODMIN GENERAL",BODMINGEN
85015,"BODMIN PARKWAY",BODMINPW
85097,"LOSTWITHIEL DOWN GOODS LOOP",LOSWTHDGL
85099,"LOSTWITHIEL UP GOODS LOOP",LOSWTHUGL
85100,"LOSTWITHIEL SIG 4",LOSWTHLS4
85101,"LOSTWITHIEL STN",LOSWITHEL
85103,"LOSTWITHIEL CLAY SDGS",LOSWCLAYS
85105,"FOWEY DOCK CARNE POINT","FOWEY DKS"
85106,"FOWEY DOCK REPAIR POINT",FOWEYDKRP
85109,"PAR DOWN GOODS LOOP","PAR DGL"
85110,"PAR LINER SDGS",PARLINERS
85111,PAR,PAR
85112,"PAR CLAY SDGS","PAR CLAYS"
85113,"PAR SIG PR7",PAR7
85114,"PAR CHAPEL SIDING",PARCHPLSD
85212,"PAR HARBOUR",PARHARBOR
85217,"ST BLAZEY","ST BLAZY"
85218,"ST BLAZEY SIGNAL BOX",STBLAZESB
85219,"ST BLAZEY SDGS",STBLAZEY
85220,"ST BLAZEY","ST BLAZEY"
85221,"ST BLAZEY","ST BLZEY"
85222,"ST BLAZEY LOCO SD",STBLAZESD
85223,"PONTSMILL SDG",PONTSMILL
85225,LUXULYAN,LUXULYAN
85227,"GOONBARROW JN       BUGLE",GOONBRWJN
85228,"GOONBARROW JN       BUGLE",GOONBAROW
85229,"GOONBARROW JN       BUGLE",GOONBRWJ
85230,"ROCKS DRIES SDG",ROCKSDRIE
85231,BUGLE,BUGLE
85233,ROCHE,ROCHE
85244,"ST COLUMB ROAD",STCOLUMBR
85246,"QUINTRELL DOWNS",QUINTRLDN
85261,NEWQUAY,NEWQUAY
85302,"ST AUSTELL",STAUSCE
85303,"ST AUSTELL",STAUSTELL
85400,BURNGULLOW,BURNGULOW
85401,"BURNGULLOW JN",BURNGLWJN
85402,BURNGULLOW,BURNGULOC
85403,"BURNGULLOW REPAIR POINT",BURNGULRP
85404,"BURNGULLOW (FLHH)",BURNGULW
85405,"CRUGWALLINS SDGS",CRUGWLNSD
85411,"DRINNICK MILL",DRINIKMIL
85412,"DRINNICK MILL","DRINIK ML"
85413,"DRINNICK MILL",DRNIKMILL
85414,"DRINNICK MILL CCD",DRNIKMLCD
85415,"CENTRAL TREVISCOE GROUND FRAME",TREVSCOGF
85416,"TREVISCOE SDGS",TREVISCOE
85418,"KERNICK SDGS","KERNICK S"
85423,PARKANDILLACK,PARKADILK
85430,"GRAMPOUND ROAD",GRAMPNDRD
85440,PROBUS,PROBUS
85501,TRURO,TRURO
85502,TRURO,"TRURO CE"
85503,"TRURO FREIGHT DEPOT","TRURO FD"
85503,"TRURO YARD","TRURO FD"
85505,"PENWITHERS JN",PENWTHRSJ
85506,"TRURO SHUNT SIGNAL 37",TRURO37
85507,PERRANWELL,PERRANWEL
85508,"TRURO SIG 14","TRURO 14"
85511,PENRYN,PENRYN
85513,PENMERE,PENMERE
85515,"FALMOUTH TOWN","FALMTH TN"
85521,"FALMOUTH DOCKS",FALMTHDKS
85522,"FALMOUTH DOCKS","FALMTH DK"
85530,BALDHU,BALDHU
85595,CHACEWATER,CHACEWTER
85601,REDRUTH,REDRUTH
85621,"ROSKEAR JN",ROSKEARJN
85622,CAMBORNE,CAMBORNE
85702,HAYLE,HAYLE
85711,"ST IVES","ST IVES"
85713,"CARBIS BAY",CARBISBAY
85715,LELANT,LELANT
85716,"LELANT SALTINGS",LELANTSLT
85720,"ST ERTH SIG SE10",STERTH10
85721,"ST ERTH","ST ERTH"
85722,"ST ERTH",STERTCE
85729,"PENZANCE UP LOOP SDG","PENZ UPLP"
85730,"LONG ROCK","LONG ROCK"
85731,"PENZANCE LOCO SD",PENZANCSD
85732,"PONSANDANE PENZANCE",PONSANDAN
85733,"PENZANCE LOCO SD FUEL ROAD",PENZCSDFL
85734,PENZANCE,PENZANCE
85735,"PENZANCE HST SERVICING SHED",PENZHSTSD
86002,ESHER,ESHER
86003,HERSHAM,HERSHAM
86004,WALTON-ON-THAMES,WALTONOT
86005,WEYBRIDGE,WEYBRIDGE
86005,"WEYBRIDGE ETC",WEYBRIDGE
86007,"WEYBRIDGE SIGNAL WK1102",WEYBDG102
86010,"ADDLESTONE JN",ADDLSTNJN
86011,ADDLESTONE,ADDLESTON
86012,CHERTSEY,CHERTSEY
86018,"WINCHFIELD LONDON END",WINCHFDLE
86019,"WOKING SIG WK608",WOKING608
86019,"WOKING SIGNAL WK608",WOKING608
86020,"FARNBOROUGH SIG BE5100",FARNB5100
86021,"BYFLEET JN",BYFLEETJN
86022,"BYFLEET & NEW HAW",BYFLEETNH
86023,"WEST BYFLEET","W BYFLEET"
86024,"WINCHFIELD COUNTRY END    ",WINCHFDCE
86025,"WOKING SIG WK1220","WOK S1220"
86025,"WOKING SIGNAL WK 1220","WOK S1220"
86026,"WOKING SIG WK1212","WOK S1212"
86027,"WOKING SIG WK1208","WOK S1208"
86028,"WOKING SIGNAL WK1201 WK1203",WOK1201&3
86028,"WOKING SIGNAL WK1201",WOK1201&3
86029,"WOKING SIGNAL WK610","WOK S610"
86030,"WOKING DOWN YARD",WOKINGDNY
86031,WOKING,WOKING
86031,WOKING,WOKING
86032,"WOKING P & MD",WOKNGP&MD
86033,"WOKING UP RECEPTION",WOKINGURP
86034,"WOKING SIGNAL WV100","WOK WV100"
86035,"WOKING UP YARD",WOKINGUPY
86036,"WOKING DOWN YARD",WOKINGDAY
86037,"WOKING UP CHS","WOKING CS"
86037,"BR CARRIAGE SIDINGS","WOKING CS"
86038,"WOKING EAST END SDG",WOKINGEES
86039,"WOKING SIG WK1218",WOKNG1218
86040,"WOKING JN","WOKING JN"
86041,BROOKWOOD,BROOKWOOD
86042,"FARNBOROUGH (HANTS)","WOKING CS"
86042,"FARNBOROUGH SIGNAL YW4","WOKING CS"
86043,"FARNBOROUGH CTRY END CROSSOVER",FARNBCEND
86044,"BROOKWOOD LONDON END",BROOKWDLE
86045,FLEET,FLEET
86046,"BROOKWOOD COUNTRY END",BROOKWDCE
86047,WINCHFIELD,WINCHFLD
86048,"FARNBOROUGH LONDON END",FARNBWJN
86049,HOOK,HOOK
86050,"BASINGSTOKE SIG B5106",BASIN5106
86051,"SHAWFORD JN",SHAWFORDJ
86052,"BASINGSTOKE BARTON MILL EAST",BASINGBME
86053,"BASINGSTOKE SIGNAL 109",BASIN109
86054,"ANDOVER SIGNAL BE5202",ANDVR5202
86055,"BASINGSTOKE SIGNAL BE5105",BASING105
86056,"MICHELDEVER SIGNAL EH229",MICHEL229
86057,"WINCHFIELD SIGNAL BE5103",WNCHF5103
86058,"BASINGSTOKE DOWN EAST END SDG",BASINGDES
86059,MORTIMER,MORTIMER
86060,"BASINGSTOKE NORTH YARD",BASINGNYD
86061,"BRAMLEY (HANTS)",BRAMLEY
86062,"BASINGSTOKE SIGNAL BE547",BASNGS547
86062,"BASINGSTOKE SIGNAL BE549",BASNGS547
86063,"BASINGSTOKE DOWN YARD",BASINGDNY
86064,"BASINGSTOKE WEST YARD",BASINGWYD
86065,"BARTON MILL CSD BASINGSTOKE","BASING BM"
86066,BASINGSTOKE,BASINSTOK
86066,"BASINGSTOKE NON PAYBILL",BASINSTOK
86068,"HURSTBOURNE VIADUCT",HURSTBRNE
86069,"WORTING JN",WORTINGJN
86070,OVERTON,OVERTON
86071,WHITCHURCH,WHTCHURCH
86072,"ANDOVER YARD",ANDOVERYD
86073,ANDOVER,ANDOVERFS
86074,ANDOVER,ANDOVER
86075,"RED POST JN",REDPOSTJN
86076,LUDGERSHALL,LUDGRSHL
86077,GRATELEY,GRATELEY
86078,LUDGERSHALL,LUDGRSHAL
86079,"WINCHESTER BALTIC SDG",WINCHSTBS
86080,"WALLERS ASH LOOPS",WALLERSAL
86081,MICHELDEVER,MICHELDEV
86082,MICHELDEVER,MICHELDOS
86083,WINCHESTER,WINCHESTR
86084,SHAWFORD,SHAWFORD
86085,"EASTLEIGH D C S",ELEIGHDCS
86086,"EASTLEIGH WAGON EXAM SDG",ELEIGHEXM
86087,EASTLEIGH,EASTLEIGH
86087,"SIGNAL E81",EASTLEIGH
86088,"EASTLEIGH P & MD",EASTLP&MD
86089,"EASTLEIGH LWR DEPOT",EASTLHLWR
86090,"EASTLEIGH YARD",EASTLGHYD
86091,"EASTLEIGH LHS",ELEIGHLHS
86092,"EASTLEIGH ARLINGTON",ELGHARLTN
86093,"EASTLEIGH TRSMD","EGHT RSMD"
86094,"EASTLEIGH CE DEPOT",ELEIGHCED
86095,"EASTLEIGH BACK RDS 15 SDG",EASTLH15S
86096,"EASTLEIGH BACK RDS 10-12 SDG",EASTLH10S
86097,"EASTLEIGH SOUTH JN",EASTLGHSJ
86098,"EASTLEIGH T&RSMD (FLT)",EASTLHTMD
86099,EASTLEIGH,"ELEIGH FY"
86100,"EASTLEIGH EAST 15-16 SDGS",EASTET16S
86101,ROMSEY,ROMSEY
86102,"EASTLEIGH EAST JN",EASTLGHEJ
86102,"EASTLEIGH SIGNAL E230",EASTLGHEJ
86103,"EASTLEIGH YARD","ELEIGH YD"
86104,"ALLBROOK JN",ALLBROOKJ
86105,"EASTLEIGH VIRTUAL QUARRY","EASTLH VQ"
86106,"EASTLEIGH WEST JN",EASTLGHWJ
86107,DUNBRIDGE,DUNBRIDGE
86108,"CHANDLERS FORD",CHDLERSFD
86109,"EASTLEIGH RENOVTN CTR CS (GBRF)",ELEIGHRNC
86110,"EASTLEIGH YARD REPAIR POINT",ELEGHYDRP
86111,"DEAN HILL","DEAN HILL"
86112,DEAN,DEAN
86113,"EAST GRIMSTEAD DEAN",EGRMECC
86114,"LAVERSTOCK SOUTH JN",LSTOCKSJN
86115,"LAVERSTOCK NORTH JN",LSTOCKNJN
86116,"TUNNEL JN",TUNNELJCT
86117,"DEAN EAST GRIMSTEAD GF",DEANEGRIM
86118,"DEAN ENGINEERS","DEAN ENGS"
86119,"SALISBURY WEST CARRIAGE SDG",SALISYWCS
86120,"SALISBURY EAST YARD",SALSBYEYD
86121,"SALISBURY EAST CHS",SALSBECHS
86122,SALISBURY,SALISBRY
86122,"WEST END",SALISBRY
86123,"SALISBURY DEPOT",SALISBRYD
86124,QUIDHAMPTON,QUIDHMPTN
86125,"SALISBURY SIGNAL SY240",SALSBY240
86126,"SALISBURY SIGNAL SY217",SALSBY217
86127,"EASTLEIGH WORKS (FLHH)","ELEIGH RC"
86128,"ROMSEY SIGNAL EH995",ROMSEY995
86129,"ROMSEY SIGNAL EH883",ROMSEY883
86130,"ROMSEY SIGNAL EH882",ROMSEY882
86131,"SALISBURY RECEPTION LINE",SALSBRECL
86132,"WILTON SOUTH",WILTONSTH
86133,"LUDGERSHAL BRANCH STOP BOARD",LUDGHALSB
86134,"EASTLEIGH SIG E228",ELEIGH228
86135,"WILTON JN","WILTON JN"
86136,"WILTON JN SIG SY7",WILTONJN7
86137,WILTON,WILTON
86138,"MICHELDEVER SIG EH125",MCHDVR125
86139,"WINCHFIELD SIG BE5102",WNCF5102
86140,"EASTLEIGH MARSHALLING YARD",EASTLHMYD
86141,"EASTLEIGH SIG E862",ELEIGH862
86142,"DINTON CHILMARK SDG",CHILMARK
86143,"EASTLEIGH SIG E85",ELEIGH85
86144,DINTON,DINTON
86145,"SALISBURY SIG SY215",SALSBY215
86201,"HEDGE END","HEDGE END"
86202,BOTLEY,BOTLEY
86202,"SIGNAL E295",BOTLEY
86203,BOTLEY,"BOTLEY FY"
86215,WOOLSTON,WOOLSTON
86216,BITTERNE,BITTERNE
86217,"WOOLSTON CROSSOVER",WOOLSTNXO
86218,SHOLING,SHOLING
86219,NETLEY,NETLEY
86220,"NETLEY EMERGENCY XO",NETLEYXO
86222,HAMBLE,HAMBLE
86223,BURSLEDON,BURSLEDON
86225,SWANWICK,SWANWICK
86237,"FAREHAM SIGNAL E821",FAREHM821
86238,"FAREHAM SIG E825",FAREHM825
86239,"FAREHAM SIGNAL EH283",FAREHM283
86240,"FAREHAM SIGNAL EH822",FAREHM822
86241,FAREHAM,FAREHAM
86242,"FAREHAM A.R.C. SIDINGS",FAREHAMAG
86243,"FAREHAM NORTH JN",FAREHAMNJ
86248,PORTCHESTER,PTCHESTER
86292,"SHANKLIN (ISLE OF WIGHT)",SHANKLIN
86293,"LAKE (ISLE OF WIGHT)",LAKE
86294,"SANDOWN (ISLE OF WIGHT)",SANDOWN
86295,"BRADING (ISLE OF WIGHT)",BRADING
86296,"SMALLBROOK JN (ISLE OF WIGHT)",SMALLBKJN
86297,"RYDE ST JOHNS ROAD (IOW)",RYDESTJRD
86298,"RYDE ESPLANADE (ISLE OF WIGHT)",RYDEPNADE
86299,"RYDE PIER HEAD (ISLE OF WIGHT)",RYDEPHEAD
86300,"RYDE ESPLANADE SIG 32",RYDEESP32
86301,COSHAM,COSHAM
86302,"COSHAM JN","COSHAM JN"
86308,"RYDE MAINT DPT (ISLE OF WIGHT)",RYDEIOWMD
86310,"PORTSMOUTH HARBOUR",PHBRBAL
86311,"PORTSMOUTH HARBOUR","PORTMTH H"
86311,"PORTSMOUTH HARBOUR (SHIP)","PORTMTH H"
86312,"PORTSMOUTH HARBOUR SIG HT61",PORTMTH61
86313,"PORTSMOUTH & SOUTHSEA",PORTMTH&S
86314,"PORTSMOUTH & SOUTHSEA DCS",PORT&SDCS
86315,"PORTSMOUTH & SOUTHSEA BACK RD","PORT&S BR"
86316,"PORTSMOUTH AND SOUTHSEA SIG HT571",PSEA571
86317,"FRATTON SIGNAL 553",FRATTN553
86318,"FRATTON SIGNAL 460",FRATTN460
86319,"FRATTON SIGNAL CH139",FRATTN139
86320,"FRATTON YARD PORTSMOUTH",FRATTONYD
86321,"FRATTON PORTSMOUTH",FRATTON
86322,"FRATTON STAFF HALT PORTSMOUTH",FRATTONSH
86323,"FRATTON CHS PORTSMOUTH",FRATTONCS
86323,"CARRIAGE SERVICING",FRATTONCS
86324,"PORTSMOUTH AND SOUTHSEA SIG HT573",PSEA573
86327,"FRATTON MD",FRATTONMD
86328,"FRATTON EAST JN",FRATTONEJ
86332,"HILSEA PORTSMOUTH",HILSEA
86333,"PORTCREEK JN",PORTCREEK
86334,"FARLINGTON JN",FLINGTONJ
86336,"HAVANT SIG HT501",HAVNTS501
86337,"HAVANT SIGNAL HT503",HAVNTS503
86338,"HAVANT SIGNAL CH28",HAVANTS28
86339,BEDHAMPTON,BEDHAMPTN
86340,"HAVANT SIGNAL CH31",HAVANTS31
86341,HAVANT,HAVANT
86342,WARBLINGTON,WARBLNGTN
86343,EMSWORTH,EMSWORTH
86353,SOUTHBOURNE,SOUTHBORN
86363,NUTBOURNE,NUTBOURNE
86373,BOSHAM,BOSHAM
86383,FISHBOURNE,FISHBORNE
86424,CHICHESTER,CHICHESTR
86425,"CHICHESTER FREIGHT TERMINAL",CHICHSTFT
86426,"CHICHESTER RECEPTION NO2",CHICHSTRS
86427,"PORTFIELD CHICHESTER",PORTFIELD
86429,DRAYTON,DRAYTON
86440,"BOGNOR REGIS",BOGNBAL
86441,"BOGNOR REGIS STN",BOGNOR
86441,"BOGNOR REGIS  CARRIAGE SIDINGS",BOGNOR
86442,"BOGNOR REGIS SIG BR13",BOGNORS13
86450,"BARNHAM UP SDGS",BARNHAMUS
86451,BARNHAM,BARNHAM
86452,"BARNHAM ENGINEERS","BNHM ENGS"
86453,"BARNHAM SIG BH122",BARNHM122
86454,"BARNHAM SIG BH115",BARNHM115
86461,FORD,FORD
86465,"FORD JN","FORD JN"
86471,LITTLEHAMPTON,LITTHMPTN
86471,"LITTLEHAMPTON  CARRIAGE SIDNGS",LITTHMPTN
86472,"LITTLEHAMPTON CARRIAGE SDGS",LITTHMPCS
86495,"SOUTHAMPTON PARKWAY",SOTONPWAY
86497,SWAYTHLING,SWAYTHLNG
86499,"ST DENYS","ST DENYS"
86500,"ST DENYS SIGNAL E904",STDENY904
86501,"ST DENYS SIGNAL E704",STDENY504
86502,"ST DENYS SIGNAL E706 ",STDENY706
86503,"SOUTHAMPTON UP YARD",SOTONUPYD
86504,"SOUTHAMPTON UP YARD (FL)",SOTUPYDFL
86506,"SOUTHAMPTON DOWN YARD",SOTONDNYD
86507,"SOUTHAMPTON NORTHAM DEPOT RECP",NORTHMDRL
86508,"SOUTHAMPTON NORTHAM DEPOT",NORTHMDPT
86511,"SOUTHAMPTON DN YD SIG E842",SOTONE842
86513,"NORTHAM JN",NORTHAMJN
86514,"CANUTE ROAD LEVEL CROSSING","CANUTE RD"
86515,"SOUTHAMPTON EASTERN DOCKS",SOTNHVP
86516,"SOUTHAMPTON EASTERN DOCKS",SOTONEDKS
86517,"SOUTHAMPTON EASTERN DOCKS C&W",SOTONEDK
86519,"SOUTHAMPTON SIGNAL EH930",SOTONS930
86519,"SOUTHAMPTON SIGNAL E942",SOTONS930
86520,SOUTHAMPTON,STHAMPTON
86520,"STATION FORECOURT",STHAMPTON
86521,"SOUTHAMPTON SIGNAL EH740",SOTONS740
86522,"SOUTHAMPTON UP GOODS LOOP",SOTONUGLP
86524,"SOUTHAMPTON DOWN LOOP",SOTONDGLP
86526,"MILLBROOK DOCK ENTRANCE",MILLBDKEN
86527,MILLBROOK,MBRK
86527,"SIGNAL E850",MBRK
86528,"MILLBROOK DOCK EXIT",MILLBDKEX
86529,"MILLBROOK FLT SOUTHAMPTON",MBRKFLT
86530,"SOUTHAMPTON MARITIME TERMINAL",SOTONMDBS
86531,"SOUTHAMPTON MARITIME TERMINAL","SOTON M T"
86532,"SOUTHAMPTON MARITIME TERML LHS","SOTMT LHS"
86533,"SOUTHAMPTON MARITIME MAINT DPT","SOTNMT MD"
86534,"MILLBROOK SIG E958",MILLBS958
86535,"MILLBROOK SIGNAL EH0758",MILLBS758
86536,"MILLBROOK SIG E942","NETWORK RAIL"
86601,"SOUTHAMPTON WESTERN DOCKS",SOTONWDKS
86602,"SOUTHAMPTON WESTERN DOCKS",SOTNWDKAB
86603,"SOUTHAMPTON WESTERN DOCKS (FLT)","SOTN WDKS"
86604,"SOUTHAMPTON WEST DKS BERTH 109",SOTNWDKS
86605,"SOUTHAMPTON WESTERN DOCKS","SOT WDKS"
86606,"SOUTHAMPTON WESTERN DOCKS",SOTWDOCKS
86607,"SOUTHAMPTON WESTERN DKS (GBRF)",SOTNWTDKS
86701,"REDBRIDGE SDGS DBS",REDBDGDBS
86702,"REDBRIDGE SDGS",REDBDGSDG
86703,"REDBRIDGE STN",REDBRIDGE
86704,"REDBRIDGE JN",REDBDGEJN
86705,"REDBRIDGE SIG E973",REDBDG973
86710,"TOTTON YARD GBRF",TOTTNYDGB
86711,TOTTON,TOTTON
86712,"TOTTON  (DCR)",TOTTONDCR
86713,"TOTTON YARD","TOTTON YD"
86715,"TOTTON C & W REPAIR ROADS","TOTTON CW"
86721,"MARCHWOOD (MOD ARMY)",MARCHWD
86722,MARCHWOOD,MARCHWOOD
86723,"MARCHWOOD (FREIGHTLINER)",MARCHWDFL
86724,"SMC MARCHWOOD RP",SMCMRCHWR
86807,"FAWLEY GROUND FRAME","FAWLEY GF"
86811,"FAWLEY HARDLEY SDG",FAWLEYHDY
86812,"FAWLEY CADLANDS",FAWLEYCAD
86812,"ESSO PETROLEUM (CADLANDS)",FAWLEYCAD
86813,"FAWLEY ANGLO GULF & W INDIES",FAWLYAGWI
86814,"FAWLEY LPG",FAWLEYLPG
86815,FAWLEY,FAWLEY
86816,"FAWLEY CADLANDS (FLHH)",FAWLEYCFL
86893,"ASHURST NEW FOREST",ASHURSTNF
86896,"BEAULIEU ROAD","BEAULE RD"
86901,BROCKENHURST,BROCKNHST
86902,"BROCKENHURST UP SDG",BROCKNHUS
86903,"BROCKENHURST DOWN SDG",BROCKNHDS
86904,"BROCKENHURST JN",BROCKNHJN
86904,"BROCKENHURST SIGNAL BH62",BROCKNHJN
86907,"LYMINGTON TOWN",LYMNTNTWN
86908,"LYMINGTON PIER",LYMINGTNP
86909,SWAY,SWAY
86911,"NEW MILTON","N MILTON"
86913,"HINTON ADMIRAL","HINTON AD"
86915,CHRISTCHURCH,CHRISTCHR
86917,POKESDOWN,POKESDOWN
86920,"BOURNEMOUTH SIGNAL BC1011",BNMTH1011
86921,BOURNEMOUTH,BOURNEMTH
86922,"BOURNEMOUTH WEST T&RSMD","BMW T&RSD"
86923,"BOURNEMOUTH WEST T&RSMD",BMWT&RSMD
86923,"BOURNEMOUTH WEST CARRIAGE SDGS",BMWT&RSMD
86924,"BOURNEMOUTH MIDDLE SDGS",BORNMTHMS
86925,"BOURNEMOUTH UP SDG",BORNMTHUS
86926,"BOURNEMOUTH SIG 21",BORNMTH21
86927,BRANKSOME,BRANKSOME
